Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity,Time_Period
Sunday,31-50,Male,Junior high school,Unknown,5-10yr,Automobile,Owner, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Changing lane to the left,Slight Injury,Night
Sunday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,3,No priority to vehicle,Slight Injury,Night
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Morning
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Governmental,Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Changing lane to the right,Slight Injury,Morning
Friday,31-50,Male,Unknown,Employee,Below 1yr,Ridden horse,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Morning
Monday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,2,Changing lane to the left,Slight Injury,Evening
Tuesday,18-30,Male,Junior high school,Owner,1-2yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Getting off the vehicle improperly,Slight Injury,Evening
Saturday,Over 51,Male,Elementary school,Employee,2-5yr,Taxi,Owner,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,3,Other,Slight Injury,Morning
Saturday,31-50,Male,Elementary school,Owner,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,3,No distancing,Slight Injury,Morning
Saturday,18-30,Unknown,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,3,Overtaking,Slight Injury,Morning
Thursday,18-30,Male,High school,Employee,5-10yr,Public (12 seats),Organization, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,3,No priority to pedestrian,Slight Injury,Afternoon
Tuesday,Over 51,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Slight Injury,Afternoon
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Other,Slight Injury,Afternoon
Monday,Unknown,Female,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Office areas,One way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving at high speed,Slight Injury,Evening
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Unknown,Slight Injury,Evening
Thursday,31-50,Unknown,Junior high school,Employee,2-5yr,Automobile,Organization, Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Changing lane to the right,Slight Injury,Afternoon
Thursday,18-30,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,Office areas,other,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,3,No distancing,Slight Injury,Afternoon
Wednesday,31-50,Male,Elementary school,Other,5-10yr,Public (12 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No priority to vehicle,Slight Injury,Afternoon
Monday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,3,Changing lane to the left,Slight Injury,Evening
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,3,Overtaking,Slight Injury,Morning
Thursday,31-50,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,3,Driving carelessly,Slight Injury,Morning
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,3,No priority to pedestrian,Slight Injury,Morning
Tuesday,Over 51,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),Owner,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,3,Changing lane to the right,Serious Injury,Afternoon
Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,3,Changing lane to the right,Slight Injury,Night
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,3,Changing lane to the left,Serious Injury,Evening
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,2,Overturning,Serious Injury,Evening
Sunday,Over 51,Male,Junior high school,Unknown,5-10yr,Lorry (11?40Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,3,No distancing,Slight Injury,Afternoon
Wednesday,Over 51,Unknown,Elementary school,Owner,2-5yr,Stationwagen,Owner,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,3,Going straight,3,Driving carelessly,Slight Injury,Night
Monday,18-30,Unknown,Junior high school,Employee,Below 1yr,Lorry (11?40Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the right,Serious Injury,Morning
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,3,Moving Backward,Fatal injury,Afternoon
Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Moving Backward,Fatal injury,Afternoon
Sunday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,No distancing,Slight Injury,Morning
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,Changing lane to the left,Slight Injury,Evening
Sunday,18-30,Unknown,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,2,Driving carelessly,Slight Injury,Night
Sunday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Slight Injury,Night
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,3,No distancing,Slight Injury,Night
Monday,18-30,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the right,Slight Injury,Evening
Monday,18-30,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Parked,2,No distancing,Slight Injury,Afternoon
Monday,31-50,Unknown,Junior high school,Employee,Above 10yr,Other,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,2,Overturning,Slight Injury,Afternoon
Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,2,No priority to vehicle,Serious Injury,Night
Monday,31-50,Unknown,Elementary school,Employee,5-10yr,Other,Governmental,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Going straight,3,Other,Slight Injury,Night
Friday,31-50,Male,Elementary school,Employee,5-10yr,Other,Owner, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,3,Moving Backward,Slight Injury,Evening
Monday,31-50,Unknown,Junior high school,Unknown,5-10yr,Other,Owner, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,No priority to vehicle,Slight Injury,Evening
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,  Recreational areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,3,Driving carelessly,Slight Injury,Evening
Saturday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,3,Changing lane to the right,Slight Injury,Night
Wednesday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,3,Driving carelessly,Slight Injury,Evening
Friday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,No priority to vehicle,Slight Injury,Afternoon
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,2,No priority to pedestrian,Slight Injury,Afternoon
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Organization,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,3,No priority to vehicle,Serious Injury,Afternoon
Monday,Under 18,Unknown,Elementary school,Employee,5-10yr,Pick up upto 10Q,Governmental,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Slight Injury,Morning
Saturday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,Other,other,Tangent road with flat terrain,No junction,Other,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,3,Driving to the left,Slight Injury,Evening
Sunday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Going straight,3,Driving to the left,Slight Injury,Night
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,3,Going straight,3,Driving carelessly,Slight Injury,Night
Saturday,Under 18,Male,Junior high school,Employee,5-10yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Moving Backward,3,Driving carelessly,Slight Injury,Evening
Saturday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,3,Changing lane to the right,Slight Injury,Evening
Friday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,School areas,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Moving Backward,Serious Injury,Morning
Saturday,18-30,Unknown,Junior high school,Employee,5-10yr,Long lorry,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Driving carelessly,Slight Injury,Afternoon
Friday,31-50,Male,High school,Employee,Below 1yr,Public (12 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Serious Injury,Morning
Friday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Serious Injury,Morning
Thursday,Under 18,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,2,Going straight,3,Driving carelessly,Serious Injury,Evening
Friday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,1,4,Going straight,3,Driving carelessly,Slight Injury,Night
Friday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,4,Unknown,3,Overtaking,Slight Injury,Night
Friday,18-30,Unknown,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,4,Going straight,3,Changing lane to the right,Slight Injury,Night
Saturday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,1,No distancing,Slight Injury,Afternoon
Friday,Under 18,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Stopping,3,Other,Slight Injury,Morning
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Overtaking,3,Changing lane to the right,Slight Injury,Night
Sunday,31-50,Male,Junior high school,Employee,Below 1yr,Bajaj,Owner,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,3,Overtaking,Slight Injury,Night
Sunday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Governmental,School areas,Double carriageway (median),Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,2,1,Going straight,3,Driving to the left,Slight Injury,Night
Saturday,Unknown,Female,Elementary school,Employee,2-5yr,Lorry (11?40Q),Owner,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Going straight,3,Overtaking,Slight Injury,Afternoon
Saturday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with rolling terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Unknown,3,No priority to vehicle,Slight Injury,Afternoon
Saturday,Under 18,Male,Junior high school,Unknown,5-10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,With Train,2,1,Moving Backward,3,Other,Slight Injury,Afternoon
Friday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Governmental,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Moving Backward,3,No priority to pedestrian,Slight Injury,Night
Friday,31-50,Male,Junior high school,Owner,Above 10yr,Public (12 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Changing lane to the right,Slight Injury,Night
Monday,Over 51,Male,Junior high school,Employee,unknown,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,2,Changing lane to the right,Slight Injury,Evening
Monday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Organization, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,3,Driving to the left,Slight Injury,Evening
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Gravel roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Moving Backward,Slight Injury,Evening
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,1,Going straight,3,Moving Backward,Slight Injury,Evening
